Rk,G,Date,W_E,Opp,W_L,Tm,Opp_pts,FG_LA,FGA_LA,FGpc_LA,3P_LA,3PA_LA,3Ppc_LA,FT_LA,FTA_LA,FTpc_LA,ORB_LA,TRB_LA,AST_LA,STL_LA,BLK_LA,TOV_LA,PF_LA,FG,FGA,FGpc,3P,3PA,3Ppc,FT,FTA,FTpc,ORB,TRB,AST,STL,BLK,TOV,PF
23,23,2019-12-06,W,POR,W,136,113,46,85,0.541,17,36,0.472,27,33,0.818,3,45,26,10,8,16,23,39,86,0.453,10,34,0.294,25,29,0.862,4,34,20,9,4,15,25
24,24,2019-12-08,W,MIN,W,142,125,55,94,0.585,14,31,0.452,18,20,0.9,10,41,32,9,1,10,19,44,84,0.524,15,37,0.405,22,26,0.846,6,31,27,5,6,15,18
25,25,2019-12-11,E,ORL,W,96,87,37,87,0.425,12,31,0.387,10,19,0.526,12,49,20,10,4,13,17,34,81,0.42,8,26,0.308,11,17,0.647,8,41,20,10,5,14,17
26,26,2019-12-13,E,MIA,W,113,110,43,87,0.494,12,37,0.324,15,23,0.652,14,50,26,5,9,19,23,39,85,0.459,10,33,0.303,22,28,0.786,5,34,24,8,2,8,21
27,27,2019-12-15,E,ATL,W,101,96,36,84,0.429,5,31,0.161,24,33,0.727,13,56,21,14,9,22,24,31,86,0.36,12,42,0.286,22,25,0.88,8,42,18,8,5,19,27
28,28,2019-12-17,E,IND,L,102,105,43,91,0.473,8,31,0.258,8,17,0.471,14,42,28,5,6,13,19,41,85,0.482,10,25,0.4,13,20,0.65,13,43,22,9,6,12,21
29,29,2019-12-19,E,MIL,L,104,111,37,80,0.463,12,35,0.343,18,23,0.783,7,38,24,4,6,18,24,36,77,0.468,16,39,0.41,23,32,0.719,8,40,22,14,7,13,25
30,30,2019-12-22,W,DEN,L,104,128,39,83,0.47,10,29,0.345,16,22,0.727,18,45,18,7,9,19,25,45,92,0.489,11,32,0.344,27,30,0.9,17,44,31,13,2,8,19
31,31,2019-12-25,W,LAC,L,106,111,39,96,0.406,12,45,0.267,16,21,0.762,12,42,24,11,10,13,23,39,85,0.459,9,25,0.36,24,32,0.75,13,50,24,6,6,16,17
32,32,2019-12-28,W,POR,W,128,120,47,91,0.516,11,32,0.344,23,28,0.821,11,44,32,6,7,9,25,41,86,0.477,15,35,0.429,23,27,0.852,9,39,18,4,8,16,22
33,33,2019-12-29,W,DAL,W,108,95,38,78,0.487,9,23,0.391,23,28,0.821,6,39,28,12,7,16,23,32,89,0.36,13,43,0.302,18,20,0.9,13,45,17,11,4,18,23
34,34,2020-01-01,W,PHO,W,117,107,43,90,0.478,7,28,0.25,24,34,0.706,13,45,25,9,5,12,17,42,86,0.488,6,23,0.261,17,23,0.739,11,47,32,7,3,14,28
35,35,2020-01-03,W,NOP,W,123,113,43,86,0.5,14,29,0.483,23,28,0.821,8,47,29,9,4,12,14,48,102,0.471,11,37,0.297,6,7,0.857,9,40,24,4,10,11,20
36,36,2020-01-05,E,DET,W,106,99,42,92,0.457,6,20,0.3,16,23,0.696,11,50,23,8,20,13,22,29,78,0.372,11,26,0.423,30,35,0.857,6,43,21,8,6,16,22
37,37,2020-01-07,E,NYK,W,117,87,41,82,0.5,17,36,0.472,18,21,0.857,6,48,27,11,11,17,19,37,95,0.389,4,20,0.2,9,16,0.563,15,47,15,10,3,16,20
38,38,2020-01-10,W,DAL,W,129,114,47,89,0.528,10,24,0.417,25,32,0.781,12,49,18,6,5,7,27,39,96,0.406,11,38,0.289,25,37,0.676,17,47,19,4,3,9,20
39,39,2020-01-11,W,OKC,W,125,110,51,99,0.515,15,32,0.469,8,10,0.8,12,54,21,3,4,12,17,43,92,0.467,9,31,0.29,15,17,0.882,5,37,23,6,6,7,13
40,40,2020-01-13,E,CLE,W,128,99,48,88,0.545,11,30,0.367,21,28,0.75,11,45,33,8,3,9,25,38,85,0.447,7,25,0.28,16,24,0.667,10,40,21,4,1,19,22
41,41,2020-01-15,E,ORL,L,118,119,48,97,0.495,15,38,0.395,7,11,0.636,13,48,34,7,6,16,20,43,94,0.457,10,26,0.385,23,29,0.793,13,48,22,10,2,13,15
42,42,2020-01-18,W,HOU,W,124,115,45,93,0.484,11,33,0.333,23,32,0.719,15,49,25,13,9,17,27,40,90,0.444,12,37,0.324,23,29,0.793,11,46,20,8,4,20,26
43,43,2020-01-20,E,BOS,L,107,139,39,89,0.438,7,26,0.269,22,29,0.759,12,36,22,5,8,15,23,52,93,0.559,16,34,0.471,19,29,0.655,14,48,31,10,5,12,26
44,44,2020-01-22,E,NYK,W,100,92,36,82,0.439,9,27,0.333,19,28,0.679,11,43,18,13,8,10,14,36,88,0.409,11,34,0.324,9,13,0.692,13,47,24,4,4,17,23
45,45,2020-01-23,E,BRK,W,128,113,47,94,0.5,19,38,0.5,15,20,0.75,11,52,28,9,6,15,15,40,91,0.44,21,46,0.457,12,15,0.8,8,41,30,12,3,16,17
46,46,2020-01-25,E,PHI,L,91,108,35,76,0.461,6,31,0.194,15,23,0.652,6,35,23,12,1,21,18,41,78,0.526,13,37,0.351,13,19,0.684,8,41,19,12,3,21,18
47,47,2020-01-31,W,POR,L,119,127,45,96,0.469,11,32,0.344,18,28,0.643,19,62,28,2,10,18,21,49,97,0.505,13,36,0.361,16,21,0.762,6,40,25,10,8,5,22
48,48,2020-02-01,W,SAC,W,129,113,44,86,0.512,19,43,0.442,22,27,0.815,11,46,33,10,5,14,22,39,91,0.429,14,44,0.318,21,26,0.808,13,44,21,5,4,16,24
49,49,2020-02-04,W,SAS,W,129,102,50,85,0.588,12,28,0.429,17,25,0.68,12,58,28,5,4,14,15,40,91,0.44,13,27,0.481,9,15,0.6,7,28,21,6,2,6,16
50,50,2020-02-06,W,HOU,L,111,121,45,91,0.495,9,31,0.29,12,16,0.75,6,38,33,10,4,15,18,43,85,0.506,19,42,0.452,16,18,0.889,6,37,20,8,4,16,22
51,51,2020-02-08,W,GSW,W,125,120,43,82,0.524,14,29,0.483,25,34,0.735,12,47,29,11,2,24,22,46,89,0.517,13,32,0.406,15,23,0.652,8,33,31,15,6,18,27
52,52,2020-02-10,W,PHO,W,125,100,47,91,0.516,14,37,0.378,17,25,0.68,16,59,28,8,4,16,22,32,76,0.421,11,31,0.355,25,31,0.806,3,29,26,7,2,13,19
53,53,2020-02-12,W,DEN,W,120,116,47,93,0.505,12,33,0.364,14,27,0.519,10,49,29,8,4,12,22,44,88,0.5,11,25,0.44,17,22,0.773,3,42,32,9,2,10,26
54,54,2020-02-21,W,MEM,W,117,105,41,86,0.477,9,29,0.31,26,40,0.65,12,49,25,9,14,14,24,42,92,0.457,5,15,0.333,16,31,0.516,16,50,22,9,1,16,27
